StateName,Region,Year,% Income HomeOwner,% Income Renter,Cheaper to Own,Buying Cheaper,Renting cheaper,RegionName,HomeOwner,Renter,,,,,,,,,,,,
MA,Northeast,2021,0.297097504,0.25533672,0,,,,,,,,,,,,,,,,,
MA,Northeast,2022,0.383776841,0.269609131,0,,,,,,,,,,,,,,,,,
MA,Northeast,2023,0.433365352,0.279184178,0,,,,,,,,,,,,,,,,,
MA,Northeast,2024,0.446699948,0.288794795,0,,,,,,,,,,,,,,,,,
MD,Northeast,2015,0.204919254,0.192026176,0,,,,,,,,,,,,,,,,,
MD,Northeast,2016,0.198488746,0.192634049,0,,,,,,,,,,,,,,,,,
MD,Northeast,2017,0.201813646,0.190660788,0,,,,,,,,,,,,,,,,,
MD,Northeast,2018,0.211017742,0.189107755,0,,,,,,,,,,,,,,,,,
MD,Northeast,2019,0.198655682,0.186047615,0,,,,,,,,,,,,,,,,,
MD,Northeast,2020,0.187483076,0.186793887,0,,,,,,,,,,,,,,,,,
MD,Northeast,2021,0.194999603,0.196183333,1,,,,,,,,,,,,,,,,,
MD,Northeast,2022,0.249703704,0.20773882,0,,,,,,,,,,,,,,,,,
MD,Northeast,2023,0.280896871,0.205238055,0,,,,,,,,,,,,,,,,,
MD,Northeast,2024,0.284162416,0.213571669,0,,,,,,,,,,,,,,,,,
ME,Northeast,2015,0.235116248,0.23562749,1,,,,,,,,,,,,,,,,,
ME,Northeast,2016,0.230446105,0.238407464,1,,,,,,,,,,,,,,,,,
ME,Northeast,2017,0.243726692,0.22854704,0,,,,,,,,,,,,,,,,,
ME,Northeast,2018,0.255737687,0.230194541,0,,,,,,,,,,,,,,,,,
ME,Northeast,2019,0.245959332,0.236908906,0,,,,,,,,,,,,,,,,,
ME,Northeast,2020,0.233447875,0.241148714,1,,,,,,,,,,,,,,,,,
ME,Northeast,2021,0.249677588,0.251051264,1,,,,,,,,,,,,,,,,,
ME,Northeast,2022,0.32291536,0.24599189,0,,,,,,,,,,,,,,,,,
ME,Northeast,2023,0.364554015,0.245989432,0,,,,,,,,,,,,,,,,,
ME,Northeast,2024,0.372837298,0.254665444,0,,,,,,,,,,,,,,,,,
MI,Midwest,2015,0.173789398,0.206734348,1,,,,,,,,,,,,,,,,,
MI,Midwest,2016,0.1750229,0.197924798,1,,,,,,,,,,,,,,,,,
MI,Midwest,2017,0.180593815,0.20080684,1,,,,,,,,,,,,,,,,,
MI,Midwest,2018,0.189994594,0.204432815,1,,,,,,,,,,,,,,,,,
MI,Midwest,2019,0.191586929,0.206281202,1,,,,,,,,,,,,,,,,,
MI,Midwest,2020,0.181811984,0.208135008,1,,,,,,,,,,,,,,,,,
MI,Midwest,2021,0.179643018,0.21142812,1,,,,,,,,,,,,,,,,,
MI,Midwest,2022,0.235549975,0.219795662,0,,,,,,,,,,,,,,,,,
MI,Midwest,2023,0.246636832,0.223166575,0,,,,,,,,,,,,,,,,,
MI,Midwest,2024,0.281292671,0.23127039,0,,,,,,,,,,,,,,,,,
MN,Midwest,2015,0.201288512,0.212696167,1,,,,,,,,,,,,,,,,,
MN,Midwest,2016,0.207867744,0.212102408,1,,,,,,,,,,,,,,,,,
MN,Midwest,2017,0.219677837,0.206808153,0,,,,,,,,,,,,,,,,,
MN,Midwest,2018,0.228684108,0.203274958,0,,,,,,,,,,,,,,,,,
MN,Midwest,2019,0.218248375,0.202441576,0,,,,,,,,,,,,,,,,,
MN,Midwest,2020,0.206519925,0.20091339,0,,,,,,,,,,,,,,,,,
MN,Midwest,2021,0.214387346,0.204342712,0,,,,,,,,,,,,,,,,,
MN,Midwest,2022,0.271251934,0.21110673,0,,,,,,,,,,,,,,,,,
MN,Midwest,2023,0.302712935,0.212838516,0,,,,,,,,,,,,,,,,,
MN,Midwest,2024,0.299372162,0.215327943,0,,,,,,,,,,,,,,,,,
MO,Midwest,2015,0.181424747,0.180742556,0,,,,,,,,,,,,,,,,,
MO,Midwest,2016,0.18461115,0.179072833,0,,,,,,,,,,,,,,,,,
MO,Midwest,2017,0.190345948,0.179671314,0,,,,,,,,,,,,,,,,,
MO,Midwest,2018,0.202318023,0.179731545,0,,,,,,,,,,,,,,,,,
MO,Midwest,2019,0.199433403,0.180059169,0,,,,,,,,,,,,,,,,,
MO,Midwest,2020,0.184299596,0.180796335,0,,,,,,,,,,,,,,,,,
MO,Midwest,2021,0.191985414,0.18619587,0,,,,,,,,,,,,,,,,,
MO,Midwest,2022,0.247001999,0.186839864,0,,,,,,,,,,,,,,,,,
MO,Midwest,2023,0.276097537,0.18560335,0,,,,,,,,,,,,,,,,,
MO,Midwest,2024,0.266228521,0.190799686,0,,,,,,,,,,,,,,,,,
MS,South,2015,0.190270232,0.222480862,1,,,,,,,,,,,,,,,,,
MS,South,2016,0.191709983,0.228003576,1,,,,,,,,,,,,,,,,,
MS,South,2017,0.19314214,0.224580306,1,,,,,,,,,,,,,,,,,
MS,South,2018,0.202498759,0.224818986,1,,,,,,,,,,,,,,,,,
MS,South,2019,0.195523729,0.228777666,1,,,,,,,,,,,,,,,,,
MS,South,2020,0.184295449,0.234266621,1,,,,,,,,,,,,,,,,,
MS,South,2021,0.189817979,0.247055691,1,,,,,,,,,,,,,,,,,
MS,South,2022,0.242913395,0.250780523,1,,,,,,,,,,,,,,,,,
MS,South,2023,0.272520655,0.256790922,0,,,,,,,,,,,,,,,,,
MS,South,2024,0,0.264485999,1,,,,,,,,,,,,,,,,,
MT,West,2015,0.289916672,0.193424448,0,,,,,,,,,,,,,,,,,
MT,West,2016,0.294371642,0.188769938,0,,,,,,,,,,,,,,,,,
MT,West,2017,0.290544942,0.186429272,0,,,,,,,,,,,,,,,,,
MT,West,2018,0.303193674,0.183155528,0,,,,,,,,,,,,,,,,,
MT,West,2019,0.287019651,0.183700458,0,,,,,,,,,,,,,,,,,
