StateName,RegionName,AVG_2015,AVG_2016,AVG_2017,AVG_2018,AVG_2019,AVG_2020,AVG_2021,AVG_2022,AVG_2023,AVG_2024
MI,Midwest,0.17378939814102565,0.17502289958333334,0.18059381489880952,0.18999459372619049,0.19158692866666668,0.18181198396969697,0.17964301792592594,0.23554997471666667,0.2466368323425926,0.28129267106060607
MN,Midwest,0.20128851188888888,0.20786774447222223,0.21967783738888888,0.22868410818055557,0.2182483746111111,0.20651992516666667,0.21438734583333333,0.27125193380555557,0.3027129345,0.29937216240277775
MO,Midwest,0.18142474730208333,0.1846111502142857,0.19034594752083334,0.20231802321875,0.19943340259722223,0.18429959602083335,0.19198541442708333,0.2470019994375,0.27609753653125,0.26622852108333334
MS,South,0.1902702319722222,0.1917099827777778,0.19314214041666666,0.202498759,0.19552372875000001,0.18429544947222223,0.18981797922222224,0.24291339513888888,0.2725206548888889,NA
MT,West,0.289916672,0.29437164208333333,0.2905449424166667,0.30319367447222223,0.2870196505,0.26835711375,0.2896244478611111,0.39258992094444445,0.44501072975,NA
NC,Southeast,0.2086644202202381,0.20447987682929292,0.21052639213888888,0.22323221280555555,0.21333967483333333,0.20010675842222223,0.21278946732738094,0.28278542388333333,0.32017583828333335,0.32935749874166664
ND,Midwest,0.2505358442916667,0.24559605358333333,0.243859380125,0.25799989104166665,0.248575391125,0.240748732875,0.2383764647916667,0.29687302004166666,0.32845104687500004,NA
NE,Midwest,0.20039158075,0.19708243227777777,0.20741212875,0.22729296147222222,0.22572071454166667,0.21316389344444445,0.2233619221388889,0.27939217930555554,0.30808843025,NA
NH,Northeast,0.23630477116666665,0.23612882475,0.248678274,0.2650781345,0.26234124125,0.24856817291666666,0.2610542846666667,0.320533702,0.35955977841666664,NA
NJ,Northeast,0.3031813902916667,0.29249557827083333,0.29408304802083335,0.30196616020833333,0.2876256917291667,0.27737869025,0.2858244007083333,0.36621646247916667,0.4150222372083333,0.38173176433333333
NM,West,0.48587012739583335,0.24850186962499998,0.26440593529166667,0.2912942393611111,0.28333155675,0.26005530902083335,0.2711318216875,0.349437331,0.38645927539583336,NA
NV,West,0.2532283881388889,0.26222076544444445,0.2808695182222222,0.3123178394444444,0.30422866769444445,0.27944309133333334,0.31377702725,0.41957830719444444,0.43386886916666667,0.4425120664166667
NY,Northeast,0.23672924041666668,0.2223073271547619,0.2375123701527778,0.23772711302777777,0.4419704486666667,0.41951527683333334,0.31602091169444446,0.5234531749166667,0.4142064076666667,0.578634727
OH,Midwest,0.16096940621153846,0.15977079049358975,0.16530503822435896,0.1741042999679487,0.1676156293525641,0.16244441408333332,0.1718062194551282,0.21172717587820514,0.23632426742948717,0.2125713357
OK,South,0.16961854189583334,4.073084188645833,0.17233900102083333,0.18384185555555557,0.16675863641666666,0.16080803383333334,0.16953372122916666,0.21442400770833334,0.23759784039583332,0.3130482625
OR,West,0.30811595534374997,0.31192529196875,0.33377664516666666,0.3540701076041667,0.3383179840416667,0.3169036067857143,0.35049440407291665,0.44557004263541666,0.4723596429270833,0.4403793899166667
PA,Northeast,0.1997162888039216,0.18663303477604168,0.199451218265625,0.2141582134398148,0.20026483911111112,0.19272946271296296,0.20368941404166666,0.2561938510648148,0.2871294124509804,0.30198948206410253
RI,Northeast,0.29660102875,0.2848613315,0.2988306686666667,0.3127043153333333,0.29800414016666665,0.2849399115,0.30222473175,0.3829397934166667,0.42967049533333335,0.444127037
SC,Southeast,0.20806497954166667,0.20680061295833332,0.21349749586458333,0.22195060423958335,0.21504337302380952,0.19498430927777777,0.21512721845238095,0.2917636634285714,0.326365815625,0.3471516081111111
SD,Midwest,0.22832115345833331,0.22601318229166667,0.23544111083333336,0.249490607875,0.24005564616666666,0.22744157566666667,0.232723820125,0.3103113070833333,0.34371050062499997,NA
TN,Southeast,0.19796705601666667,0.19570596880833332,0.20481717803333332,0.21529752380833334,0.20615494520833333,0.1994514823,0.20887147548333332,0.281641676625,0.320757854825,NA
TX,South,0.21977171765625,0.22044552108818183,0.23045132576,0.23933663885416667,0.31262548681333335,0.2147965904047619,0.22664433859027777,0.28931960557333336,0.30913354819333333,0.3094547184285714
US,National,0.227099519,0.227910028,0.23676442233333334,0.25459935725,0.23831164216666667,0.22846493875,0.24466144991666666,0.3177801315,0.3538222984166667,0.35748144991666664
UT,West,0.22534730983333331,0.23100313903333333,0.24790904095,0.27178366291666667,0.2625107666666667,0.25386546758333334,0.28675039826666665,0.3929814282833333,0.4071329619333333,NA
VA,Southeast,0.2216903267,0.21677268226666666,0.22337074175,0.23642440271666668,0.22453865225833333,0.21422526045,0.22408539769166666,0.28902065360833334,0.326034539925,0.33155126123333334
VT,Northeast,0.2842102470833333,0.28163941,0.3168983720833333,NA,0.290986955,NA,NA,NA,0.4042706960833333,NA
WA,West,0.259174711825,0.2629397926515151,0.28248844499242426,0.3065902145227273,0.29239087244166667,0.29282173201666667,0.31139938795454547,0.41173312187878786,0.4447937585681818,NA
WI,Midwest,0.20439068975694444,0.20489976863194445,0.21190482247222223,0.22141429503030302,0.21914556187121212,0.20905197551388888,0.21610084039583333,0.2685922878611111,0.30887236368055554,NA
WV,Southeast,0.163919392875,0.16094355527083332,0.16409317281250002,0.1706909505625,0.16010864225,NA,0.13503937891666667,0.1915503162916667,0.2194231075,0.2241672083125
WY,West,0.23621442979166668,0.24997177516666666,0.23266489475000002,0.23961465850000002,0.231482309,0.23226675654166667,0.24047076383333335,0.30211513029166664,0.33618112116666665,NA
